Сирия:{'Заболели': 39488, 'Умерли': 2429, 'Вылечились': 0, 'Активные случаи': 37059}
Кабо-Верде:{'Заболели': 38049, 'Умерли': 347, 'Вылечились': 0, 'Активные случаи': 37702}
Мальта:{'Заболели': 37464, 'Умерли': 459, 'Вылечились': 0, 'Активные случаи': 37005}
Мавритания:{'Заболели': 36722, 'Умерли': 789, 'Вылечились': 0, 'Активные случаи': 35933}
Гайана:{'Заболели': 34514, 'Умерли': 875, 'Вылечились': 0, 'Активные случаи': 33639}
Габон:{'Заболели': 33842, 'Умерли': 218, 'Вылечились': 0, 'Активные случаи': 33624}
Лаос:{'Заболели': 32314, 'Умерли': 40, 'Вылечились': 0, 'Активные случаи': 32274}
Гвинея:{'Заболели': 30572, 'Умерли': 385, 'Вылечились': 0, 'Активные случаи': 30187}
Танзания:{'Заболели': 26034, 'Умерли': 724, 'Вылечились': 0, 'Активные случаи': 25310}
Того:{'Заболели': 25903, 'Умерли': 239, 'Вылечились': 0, 'Активные случаи': 25664}
Папуа Новая Гвинея 24857:{'Заболели': 24857, 'Умерли': 309, 'Вылечились': 0, 'Активные случаи': 24548}
Бенин:{'Заболели': 24560, 'Умерли': 161, 'Вылечились': 0, 'Активные случаи': 24399}
Белиз:{'Заболели': 24447, 'Умерли': 465, 'Вылечились': 0, 'Активные случаи': 23982}
Гаити:{'Заболели': 23042, 'Умерли': 657, 'Вылечились': 0, 'Активные случаи': 22385}
Багамы:{'Заболели': 21978, 'Умерли': 626, 'Вылечились': 0, 'Активные случаи': 21352}
Сейшельские Острова:{'Заболели': 21947, 'Умерли': 119, 'Вылечились': 0, 'Активные случаи': 21828}
Лесото:{'Заболели': 21530, 'Умерли': 655, 'Вылечились': 0, 'Активные случаи': 20875}
Сомали:{'Заболели': 21269, 'Умерли': 1180, 'Вылечились': 0, 'Активные случаи': 20089}
Бурунди:{'Заболели': 19730, 'Умерли': 38, 'Вылечились': 0, 'Активные случаи': 19692}
Восточный Тимор:{'Заболели': 19725, 'Умерли': 119, 'Вылечились': 0, 'Активные случаи': 19606}
Таджикистан:{'Заболели': 17484, 'Умерли': 125, 'Вылечились': 0, 'Активные случаи': 17359}
Кюрасао:{'Заболели': 16936, 'Умерли': 172, 'Вылечились': 0, 'Активные случаи': 16764}
Маврикий:{'Заболели': 16669, 'Умерли': 134, 'Вылечились': 0, 'Активные случаи': 16535}
Тайвань:{'Заболели': 16337, 'Умерли': 846, 'Вылечились': 0, 'Активные случаи': 15491}
Конго Браззавиль:{'Заболели': 15962, 'Умерли': 231, 'Вылечились': 0, 'Активные случаи': 15731}
Никарагуа:{'Заболели': 15737, 'Умерли': 206, 'Вылечились': 0, 'Активные случаи': 15531}
Аруба:{'Заболели': 15732, 'Умерли': 170, 'Вылечились': 0, 'Активные случаи': 15562}
Мали:{'Заболели': 15643, 'Умерли': 557, 'Вылечились': 0, 'Активные случаи': 15086}
Андорра:{'Заболели': 15367, 'Умерли': 130, 'Вылечились': 0, 'Активные случаи': 15237}
Буркина-Фасо:{'Заболели': 14752, 'Умерли': 203, 'Вылечились': 0, 'Активные случаи': 14549}
Джибути:{'Заболели': 13415, 'Умерли': 181, 'Вылечились': 0, 'Активные случаи': 13234}
Барбадос:{'Заболели': 13171, 'Умерли': 119, 'Вылечились': 0, 'Активные случаи': 13052}
Экваториальная Гвинея:{'Заболели': 13020, 'Умерли': 161, 'Вылечились': 0, 'Активные случаи': 12859}
Исландия:{'Заболели': 12614, 'Умерли': 33, 'Вылечились': 0, 'Активные случаи': 12581}
Сент-Люсия:{'Заболели': 12234, 'Умерли': 237, 'Вылечились': 0, 'Активные случаи': 11997}
Южный Судан:{'Заболели': 12225, 'Умерли': 130, 'Вылечились': 0, 'Активные случаи': 12095}
ЦАР:{'Заболели': 11478, 'Умерли': 100, 'Вылечились': 0, 'Активные случаи': 11378}
Бруней-Даруссалам:{'Заболели': 11047, 'Умерли': 76, 'Вылечились': 0, 'Активные случаи': 10971}
Новая Каледония:{'Заболели': 10070, 'Умерли': 242, 'Вылечились': 0, 'Активные случаи': 9828}
Гамбия:{'Заболели': 9946, 'Умерли': 339, 'Вылечились': 0, 'Активные случаи': 9607}
Йемен:{'Заболели': 9556, 'Умерли': 1807, 'Вылечились': 0, 'Активные случаи': 7749}
о-в Мэн:{'Заболели': 8647, 'Умерли': 56, 'Вылечились': 0, 'Активные случаи': 8591}
Эритрея:{'Заболели': 6776, 'Умерли': 45, 'Вылечились': 0, 'Активные случаи': 6731}
Сьерра-Леоне:{'Заболели': 6397, 'Умерли': 121, 'Вылечились': 0, 'Активные случаи': 6276}
Нигер:{'Заболели': 6177, 'Умерли': 205, 'Вылечились': 0, 'Активные случаи': 5972}
Гвинея-Бисау:{'Заболели': 6130, 'Умерли': 141, 'Вылечились': 0, 'Активные случаи': 5989}
Либерия:{'Заболели': 5807, 'Умерли': 286, 'Вылечились': 0, 'Активные случаи': 5521}
Гибралтар:{'Заболели': 5769, 'Умерли': 98, 'Вылечились': 0, 'Активные случаи': 5671}
Гренада:{'Заболели': 5769, 'Умерли': 193, 'Вылечились': 0, 'Активные случаи': 5576}
Бермудские о-ва:{'Заболели': 5567, 'Умерли': 95, 'Вылечились': 0, 'Активные случаи': 5472}
Сан-Марино:{'Заболели': 5475, 'Умерли': 91, 'Вылечились': 0, 'Активные случаи': 5384}
Новая Зеландия:{'Заболели': 5154, 'Умерли': 28, 'Вылечились': 0, 'Активные случаи': 5126}
Чад:{'Заболели': 5069, 'Умерли': 174, 'Вылечились': 0, 'Активные случаи': 4895}
Сент-Винсент Гренадины:{'Заболели': 4627, 'Умерли': 53, 'Вылечились': 0, 'Активные случаи': 4574}
Синт-Мартен:{'Заболели': 4448, 'Умерли': 73, 'Вылечились': 0, 'Активные случаи': 4375}
Коморы:{'Заболели': 4190, 'Умерли': 147, 'Вылечились': 0, 'Активные случаи': 4043}
Доминика:{'Заболели': 4153, 'Умерли': 28, 'Вылечились': 0, 'Активные случаи': 4125}
Антигуа Барбуда:{'Заболели': 3918, 'Умерли': 95, 'Вылечились': 0, 'Активные случаи': 3823}
Сен-Мартен:{'Заболели': 3878, 'Умерли': 55, 'Вылечились': 0, 'Активные случаи': 3823}
Сан-Томе Принсипи:{'Заболели': 3677, 'Умерли': 56, 'Вылечились': 0, 'Активные случаи': 3621}
Лихтенштейн:{'Заболели': 3589, 'Умерли': 60, 'Вылечились': 0, 'Активные случаи': 3529}
Монако:{'Заболели': 3363, 'Умерли': 35, 'Вылечились': 0, 'Активные случаи': 3328}
о-ва Тёркс Кайкос 2926:{'Заболели': 2926, 'Умерли': 23, 'Вылечились': 0, 'Активные случаи': 2903}
Виргинские о-ва:{'Заболели': 2725, 'Умерли': 37, 'Вылечились': 0, 'Активные случаи': 2688}
Бутан:{'Заболели': 2617, 'Умерли': 3, 'Вылечились': 0, 'Активные случаи': 2614}
Сент-Китс Невис:{'Заболели': 2556, 'Умерли': 21, 'Вылечились': 0, 'Активные случаи': 2535}
Сен-Бартелеми:{'Заболели': 1658, 'Умерли': 6, 'Вылечились': 0, 'Активные случаи': 1652}
Фарерские о-ва:{'Заболели': 1350, 'Умерли': 2, 'Вылечились': 0, 'Активные случаи': 1348}
Острова Кайман:{'Заболели': 1011, 'Умерли': 2, 'Вылечились': 0, 'Активные случаи': 1009}
Лайнер Даймонд Принсесс» 712:{'Заболели': 712, 'Умерли': 13, 'Вылечились': 0, 'Активные случаи': 699}
Ангилья:{'Заболели': 698, 'Умерли': 1, 'Вылечились': 0, 'Активные случаи': 697}
Гренландия:{'Заболели': 654, 'Умерли': 0, 'Вылечились': 0, 'Активные случаи': 654}
Фолклендские о-ва:{'Заболели': 68, 'Умерли': 0, 'Вылечились': 0, 'Активные случаи': 68}
Монтсеррат:{'Заболели': 41, 'Умерли': 1, 'Вылечились': 0, 'Активные случаи': 40}
Сен-Пьер Микелон:{'Заболели': 32, 'Умерли': 0, 'Вылечились': 0, 'Активные случаи': 32}
Ватикан:{'Заболели': 27, 'Умерли': 0, 'Вылечились': 0, 'Активные случаи': 27}
Соломоновы Острова:{'Заболели': 20, 'Умерли': 0, 'Вылечились': 0, 'Активные случаи': 20}
Палау:{'Заболели': 8, 'Умерли': 0, 'Вылечились': 0, 'Активные случаи': 8}
Вануату:{'Заболели': 4, 'Умерли': 1, 'Вылечились': 0, 'Активные случаи': 3}
Маршалловы Острова:{'Заболели': 4, 'Умерли': 0, 'Вылечились': 0, 'Активные случаи': 4}
Самоа:{'Заболели': 3, 'Умерли': 0, 'Вылечились': 0, 'Активные случаи': 3}
Кирибати:{'Заболели': 2, 'Умерли': 0, 'Вылечились': 0, 'Активные случаи': 2}
Федеративные Штаты Микронезии 1:{'Заболели': 1, 'Умерли': 0, 'Вылечились': 0, 'Активные случаи': 1}
Всего:{'Заболели': 241289055, 'Умерли': 4910457, 'Вылечились': 7040481, 'Активные случаи': 229338117}
